z,E,Omega_m,Omega_Lambda,q
1.62,2.58100290584881,0.8999235816469454,0.10007641835305438,0.34988537247041834
1.63,2.5943173154672756,0.9009481588912374,0.09905184110876256,0.35142223833685615
1.64,2.6076646001099655,0.9019595540022461,0.0980404459977537,0.3529393310033694
1.65,2.6210446390704605,0.9029579626024247,0.09704203739757515,0.35443694390363717
1.66,2.6344573128698316,0.9039435772257138,0.09605642277428622,0.3559153658385707
1.67,2.6479025032403793,0.9049165873631386,0.09508341263686128,0.35737488104470805
1.68,2.661380093109588,0.9058771795080311,0.0941228204919687,0.3588157692620469
1.69,2.674889966584295,0.9068255372008593,0.09317446279914071,0.36023830580128896
1.7,2.688432008935072,0.9077618410736522,0.09223815892634782,0.36164276161047826
1.71,2.7020061065808125,0.9086862688940093,0.09131373110599052,0.36302940334101413
1.72,2.7156121470735344,0.9095989956086807,0.0904010043913192,0.36439849341302116
1.73,2.7292500190833864,0.9105001933867072,0.08949980661329288,0.3657502900800607
1.74,2.7429196123838557,0.911390031662114,0.08860996833788609,0.3670850474931709
1.75,2.756620817837182,0.912268677176148,0.08773132282385195,0.3684030157642221
1.76,2.770353527379974,0.9131362940190517,0.08686370598094838,0.36970444102857747
1.77,2.7841176340090232,0.913993043671365,0.0860069563286348,0.3709895655070477
1.78,2.797913031767309,0.9148390850447554,0.08516091495524451,0.3722586275671332
1.79,2.8117396157302097,0.9156745745223629,0.08432542547763712,0.37351186178354434
1.8,2.8255972819918975,0.9164996659986638,0.08350033400133601,0.3747494989979959
1.81,2.8394859276519284,0.9173145109188463,0.08268548908115378,0.37597176637826935
1.82,2.853405450802018,0.9181192583176915,0.0818807416823086,0.37717888747653716
1.83,2.8673557505130054,0.9189140548579665,0.08108594514203359,0.37837108228694966
1.84,2.8813367268220027,0.9196990448683191,0.08030095513168072,0.3795485673024788
1.85,2.895348280719725,0.9204743703806793,0.07952562961932075,0.3807115555710189
1.86,2.9093903141379984,0.9212401711671608,0.07875982883283918,0.38186025675074126
1.87,2.923462729937451,0.9219965847764712,0.07800341522352872,0.38299487716470687
1.88,2.9375654318953757,0.9227437465698225,0.07725625343017767,0.3841156198547336
1.89,2.951698324693768,0.9234817897563465,0.07651821024365353,0.38522268463451975
1.9,2.9658613139075354,0.9242108454280193,0.07578915457198077,0.3863162681420289
1.91,2.9800543059928732,0.9249310425940891,0.07506895740591112,0.3873965638911334
1.92,2.9942772082758133,0.9256425082150157,0.07435749178498433,0.38846376232252355
1.93,3.008529928940932,0.9263453672359225,0.07365463276407758,0.3895180508538837
1.94,3.0228123770202253,0.9270397426195593,0.07296025738044076,0.3905596139293389
1.95,3.0371244623821396,0.9277257553787849,0.07227424462121519,0.39158863306817726
